Entity,Code,Year,"Air pollution (total) (IHME, 2019)"
Afghanistan,AFG,1990,13.56
Afghanistan,AFG,2000,12.63
Afghanistan,AFG,2010,11.94
Afghanistan,AFG,2016,10.29
Albania,ALB,1990,11.67
Albania,ALB,2000,9.24
Albania,ALB,2010,8.01
Albania,ALB,2016,7.57
Algeria,DZA,1990,6.75
Algeria,DZA,2000,6.97
Algeria,DZA,2010,7.14
Algeria,DZA,2016,7.81
Andorra,AND,1990,5.61
Andorra,AND,2000,4.91
Andorra,AND,2010,4.74
Andorra,AND,2016,4.16
Angola,AGO,1990,8.89
Angola,AGO,2000,8.24
Angola,AGO,2010,6.64
Angola,AGO,2016,5.86
Antigua and Barbuda,ATG,1990,6.38
Antigua and Barbuda,ATG,2000,6.08
Antigua and Barbuda,ATG,2010,6.08
Antigua and Barbuda,ATG,2016,5.55
Argentina,ARG,1990,5.64
Argentina,ARG,2000,5.97
Argentina,ARG,2010,5.83
Argentina,ARG,2016,5.18
Armenia,ARM,1990,11.06
Armenia,ARM,2000,11.25
Armenia,ARM,2010,10.2
Armenia,ARM,2016,9.22
Australia,AUS,1990,4.44
Australia,AUS,2000,3.99
Australia,AUS,2010,3.46
Australia,AUS,2016,2.84
Austria,AUT,1990,5.35
Austria,AUT,2000,5.33
Austria,AUT,2010,4.88
Austria,AUT,2016,4.32
Azerbaijan,AZE,1990,11.02
Azerbaijan,AZE,2000,9.92
Azerbaijan,AZE,2010,9.04
Azerbaijan,AZE,2016,8.43
Bahamas,BHS,1990,5.17
Bahamas,BHS,2000,4.56
Bahamas,BHS,2010,4.72
Bahamas,BHS,2016,4.45
Bahrain,BHR,1990,11.19
Bahrain,BHR,2000,10.83
Bahrain,BHR,2010,11.14
Bahrain,BHR,2016,12.09
Bangladesh,BGD,1990,11.34
Bangladesh,BGD,2000,12.45
Bangladesh,BGD,2010,13.91
Bangladesh,BGD,2016,13.8
Barbados,BRB,1990,6.96
Barbados,BRB,2000,6.9
Barbados,BRB,2010,6.48
Barbados,BRB,2016,6.19
Belarus,BLR,1990,8.28
Belarus,BLR,2000,8.05
Belarus,BLR,2010,7.66
Belarus,BLR,2016,6.85
Belgium,BEL,1990,6.21
Belgium,BEL,2000,5.77
Belgium,BEL,2010,5.28
Belgium,BEL,2016,4.55
