Entity,Code,Year,"Air pollution (total) (IHME, 2019)",Continent
Afghanistan,AFG,1990,13.56,Asia
Afghanistan,AFG,2000,12.63,Asia
Afghanistan,AFG,2010,11.94,Asia
Afghanistan,AFG,2016,10.29,Asia
Albania,ALB,1990,11.67,Europe
Albania,ALB,2000,9.24,Europe
Albania,ALB,2010,8.01,Europe
Albania,ALB,2016,7.57,Europe
Algeria,DZA,1990,6.75,Africa
Algeria,DZA,2000,6.97,Africa
Algeria,DZA,2010,7.14,Africa
Algeria,DZA,2016,7.81,Africa
Andorra,AND,1990,5.61,Europe
Andorra,AND,2000,4.91,Europe
Andorra,AND,2010,4.74,Europe
Andorra,AND,2016,4.16,Europe
Angola,AGO,1990,8.89,Africa
Angola,AGO,2000,8.24,Africa
Angola,AGO,2010,6.64,Africa
Angola,AGO,2016,5.86,Africa
Antigua and Barbuda,ATG,1990,6.38,North America
Antigua and Barbuda,ATG,2000,6.08,North America
Antigua and Barbuda,ATG,2010,6.08,North America
Antigua and Barbuda,ATG,2016,5.55,North America
Argentina,ARG,1990,5.64,South America
Argentina,ARG,2000,5.97,South America
Argentina,ARG,2010,5.83,South America
Argentina,ARG,2016,5.18,South America
Armenia,ARM,1990,11.06,Asia
Armenia,ARM,2000,11.25,Asia
Armenia,ARM,2010,10.20,Asia
Armenia,ARM,2016,9.22,Asia
Australia,AUS,1990,4.44,Oceania
Australia,AUS,2000,3.99,Oceania
Australia,AUS,2010,3.46,Oceania
Australia,AUS,2016,2.84,Oceania
Austria,AUT,1990,5.35,Europe
Austria,AUT,2000,5.33,Europe
Austria,AUT,2010,4.88,Europe
Austria,AUT,2016,4.32,Europe
Azerbaijan,AZE,1990,11.02,Asia
Azerbaijan,AZE,2000,9.92,Asia
Azerbaijan,AZE,2010,9.04,Asia
Azerbaijan,AZE,2016,8.43,Asia
Bahamas,BHS,1990,5.17,North America
Bahamas,BHS,2000,4.56,North America
Bahamas,BHS,2010,4.72,North America
Bahamas,BHS,2016,4.45,North America
Bahrain,BHR,1990,11.19,Asia
Bahrain,BHR,2000,10.83,Asia
Bahrain,BHR,2010,11.14,Asia
Bahrain,BHR,2016,12.09,Asia
Bangladesh,BGD,1990,11.34,Asia
Bangladesh,BGD,2000,12.45,Asia
Bangladesh,BGD,2010,13.91,Asia
Bangladesh,BGD,2016,13.80,Asia
Barbados,BRB,1990,6.96,North America
Barbados,BRB,2000,6.90,North America
Barbados,BRB,2010,6.48,North America
Barbados,BRB,2016,6.19,North America
Belarus,BLR,1990,8.28,Europe
Belarus,BLR,2000,8.05,Europe
Belarus,BLR,2010,7.66,Europe
Belarus,BLR,2016,6.85,Europe
Belgium,BEL,1990,6.21,Europe
Belgium,BEL,2000,5.77,Europe
Belgium,BEL,2010,5.28,Europe
Belgium,BEL,2016,4.55,Europe
Belize,BLZ,1990,7.71,North America
Belize,BLZ,2000,6.75,North America
Belize,BLZ,2010,6.26,North America
Belize,BLZ,2016,5.82,North America
Benin,BEN,1990,9.65,Africa
Benin,BEN,2000,8.40,Africa
Benin,BEN,2010,7.62,Africa
Benin,BEN,2016,7.69,Africa
Bhutan,BTN,1990,11.06,Asia
Bhutan,BTN,2000,10.37,Asia
Bhutan,BTN,2010,10.16,Asia
Bhutan,BTN,2016,9.59,Asia
Bolivia,BOL,1990,9.98,South America
Bolivia,BOL,2000,8.09,South America
Bolivia,BOL,2010,7.38,South America
Bolivia,BOL,2016,6.40,South America
Bosnia and Herzegovina,BIH,1990,11.75,Europe
Bosnia and Herzegovina,BIH,2000,10.69,Europe
Bosnia and Herzegovina,BIH,2010,9.65,Europe
Bosnia and Herzegovina,BIH,2016,9.15,Europe
Botswana,BWA,1990,7.19,Africa
Botswana,BWA,2000,3.16,Africa
Botswana,BWA,2010,4.11,Africa
Botswana,BWA,2016,5.59,Africa
Brazil,BRA,1990,6.92,South America
Brazil,BRA,2000,6.04,South America
Brazil,BRA,2010,5.57,South America
Brazil,BRA,2016,4.88,South America
Brunei,BRN,1990,4.03,Asia
Brunei,BRN,2000,3.68,Asia
Brunei,BRN,2010,3.80,Asia
Brunei,BRN,2016,2.78,Asia
Bulgaria,BGR,1990,9.73,Europe
Bulgaria,BGR,2000,8.71,Europe
Bulgaria,BGR,2010,7.83,Europe
Bulgaria,BGR,2016,7.18,Europe
Burkina Faso,BFA,1990,8.59,Africa
Burkina Faso,BFA,2000,8.05,Africa
Burkina Faso,BFA,2010,7.72,Africa
Burkina Faso,BFA,2016,8.38,Africa
Burundi,BDI,1990,8.24,Africa
Burundi,BDI,2000,5.74,Africa
Burundi,BDI,2010,7.52,Africa
Burundi,BDI,2016,7.92,Africa
Cambodia,KHM,1990,14.83,Asia
Cambodia,KHM,2000,12.58,Asia
Cambodia,KHM,2010,10.85,Asia
Cambodia,KHM,2016,10.55,Asia
Cameroon,CMR,1990,8.14,Africa
Cameroon,CMR,2000,7.23,Africa
Cameroon,CMR,2010,6.89,Africa
Cameroon,CMR,2016,6.94,Africa
Canada,CAN,1990,4.11,North America
Canada,CAN,2000,4.06,North America
Canada,CAN,2010,3.66,North America
Canada,CAN,2016,2.86,North America
Central African Republic,CAF,1990,8.39,Africa
Central African Republic,CAF,2000,6.80,Africa
Central African Republic,CAF,2010,7.07,Africa
Central African Republic,CAF,2016,7.43,Africa
Chad,TCD,1990,9.48,Africa
Chad,TCD,2000,9.23,Africa
Chad,TCD,2010,9.45,Africa
Chad,TCD,2016,9.83,Africa
Chile,CHL,1990,6.86,South America
Chile,CHL,2000,6.01,South America
Chile,CHL,2010,5.49,South America
Chile,CHL,2016,5.00,South America
China,CHN,1990,16.18,Asia
China,CHN,2000,14.73,Asia
China,CHN,2010,13.37,Asia
China,CHN,2016,11.93,Asia
Colombia,COL,1990,5.61,South America
Colombia,COL,2000,5.31,South America
Colombia,COL,2010,5.71,South America
Colombia,COL,2016,5.11,South America
Comoros,COM,1990,10.78,Africa
Comoros,COM,2000,9.35,Africa
Comoros,COM,2010,9.31,Africa
Comoros,COM,2016,8.89,Africa
Costa Rica,CRI,1990,5.98,North America
Costa Rica,CRI,2000,5.35,North America
Costa Rica,CRI,2010,4.60,North America
Costa Rica,CRI,2016,4.40,North America
Croatia,HRV,1990,7.24,Europe
Croatia,HRV,2000,7.16,Europe
Croatia,HRV,2010,6.70,Europe
Croatia,HRV,2016,6.03,Europe
Cuba,CUB,1990,7.34,North America
Cuba,CUB,2000,7.24,North America
Cuba,CUB,2010,6.77,North America
Cuba,CUB,2016,6.16,North America
Cyprus,CYP,1990,7.59,Asia
Cyprus,CYP,2000,7.45,Asia
Cyprus,CYP,2010,6.96,Asia
Cyprus,CYP,2016,6.40,Asia
Denmark,DNK,1990,5.77,Europe
Denmark,DNK,2000,5.18,Europe
Denmark,DNK,2010,4.87,Europe
Denmark,DNK,2016,4.37,Europe
Djibouti,DJI,1990,9.14,Africa
Djibouti,DJI,2000,7.89,Africa
Djibouti,DJI,2010,6.01,Africa
Djibouti,DJI,2016,6.45,Africa
Dominica,DMA,1990,7.13,North America
Dominica,DMA,2000,6.32,North America
Dominica,DMA,2010,5.70,North America
Dominica,DMA,2016,5.24,North America
Dominican Republic,DOM,1990,5.28,North America
Dominican Republic,DOM,2000,4.75,North America
Dominican Republic,DOM,2010,5.14,North America
Dominican Republic,DOM,2016,5.00,North America
Ecuador,ECU,1990,5.49,South America
Ecuador,ECU,2000,4.99,South America
Ecuador,ECU,2010,4.89,South America
Ecuador,ECU,2016,4.38,South America
Egypt,EGY,1990,11.28,Africa
Egypt,EGY,2000,11.17,Africa
Egypt,EGY,2010,11.63,Africa
Egypt,EGY,2016,12.16,Africa
El Salvador,SLV,1990,6.86,North America
El Salvador,SLV,2000,7.04,North America
El Salvador,SLV,2010,6.76,North America
El Salvador,SLV,2016,6.44,North America
Equatorial Guinea,GNQ,1990,9.82,Africa
Equatorial Guinea,GNQ,2000,6.73,Africa
Equatorial Guinea,GNQ,2010,4.52,Africa
Equatorial Guinea,GNQ,2016,4.54,Africa
Eritrea,ERI,1990,5.15,Africa
Eritrea,ERI,2000,7.44,Africa
Eritrea,ERI,2010,7.55,Africa
Eritrea,ERI,2016,7.59,Africa
Estonia,EST,1990,5.82,Europe
Estonia,EST,2000,5.01,Europe
Estonia,EST,2010,3.88,Europe
Estonia,EST,2016,2.99,Europe
Ethiopia,ETH,1990,5.78,Africa
Ethiopia,ETH,2000,6.66,Africa
Ethiopia,ETH,2010,7.79,Africa
Ethiopia,ETH,2016,7.46,Africa
Fiji,FJI,1990,9.62,Oceania
Fiji,FJI,2000,10.23,Oceania
Fiji,FJI,2010,10.27,Oceania
Fiji,FJI,2016,9.35,Oceania
Finland,FIN,1990,3.92,Europe
Finland,FIN,2000,3.29,Europe
Finland,FIN,2010,2.76,Europe
Finland,FIN,2016,2.03,Europe
France,FRA,1990,4.41,Europe
France,FRA,2000,4.06,Europe
France,FRA,2010,3.82,Europe
France,FRA,2016,3.29,Europe
Gabon,GAB,1990,7.48,Africa
Gabon,GAB,2000,5.53,Africa
Gabon,GAB,2010,5.04,Africa
Gabon,GAB,2016,5.88,Africa
Gambia,GMB,1990,10.13,Africa
Gambia,GMB,2000,8.55,Africa
